DATE,Incubator,Start Date,End Date,Tank Name,Male,Female,Spawn Type,Time Found,Cleavage,Day of Cycle,Total # of tanks,Notes
12-31-2019,Red (New),10-16-2019,NA,R_CC7x4(FROM111218)_101619,CC7,NA,sperm,11:16,,15,13,
12-31-2019,Red (New),11-13-2019,NA,R_H2_H2_111319,NA,H2,eggs,11:16,,15,13,
01-02-2020,Red (New),11-13-2019,02-03-2020,R_H2_H2_H2_111319,NA,H2,eggs,10:40,,17,13,
01-02-2020,Orange (Old),10-23-2019,NA,O_PLF3_PLF3_PLF3_102319,NA,PLF3,eggs,10:40,,10,13,
01-02-2020,Orange (Old),10-23-2019,02-03-2020,O_CC7x3(FROM031619)_102319,CC7,NA,sperm,10:40,,10,13,
01-02-2020,Orange (Old),11-20-2019,02-03-2020,O_CC7_CC7_CC7_112019,CC7,NA,sperm,10:40,,10,13,
01-03-2020,Orange (Old),11-20-2019,02-03-2020,O_CC7_CC7_CC7_112019,CC7,NA,sperm,11:45,,11,13,
01-03-2020,Orange (Old),11-20-2019,NA,R_CC7x4(FROM111218)_101619,CC7,NA,sperm,11:45,,11,13,
01-03-2020,Red (New),11-13-2019,02-03-2020,R_H2_H2_H2_111319,NA,H2,eggs,12:48,,18,13,
01-06-2020,YELLOW,12-04-2019,02-27-2020,Y_PLF3_PLF3_PLF3_120419,NA,PLF3,eggs,10:30,,27,9,
01-06-2020,YELLOW,12-04-2019,05-18-20,Y_PLF3x3_120419,NA,PLF3,eggs,9:30,,27,9,
01-07-2020,Red (New),08-21-2019,02-27-2020,R_PLF5x3_082119,NA,PLF5,eggs,10:00,,22,19,
01-08-2020,Red (New),08-21-2019,02-27-2020,R_PLF5x3_082119,NA,PLF5,eggs,10:00,,23,19,
01-10-2020,Green (Newest),11-27-2019,02-19-2020,G_H2_H2_H2_H2_H2_112719,NA,H2,eggs,10:30,,12,9,
01-10-2020,Green (Newest),11-27-2019,NA,G_CC7_CC7_CC7_112719,CC7,NA,sperm,10:30,,12,9,
01-13-2020,Green (Newest),11-27-2019,02-27-2020,G_PLF3x4_112719,NA,PLF3,eggs,10:30,,15,9,
01-13-2020,Green (Newest),09-03-2019,NA,G_PLF3_PLF3_B4MOON_090519,NA,PLF3,eggs,10:30,,15,9,
01-15-2020,Green (Newest),11-27-2019,09-15-2020,G_CC7x3(FROM1121)_112719,CC7,NA,sperm,10:27,,18,9,
01-15-2020,YELLOW,11-27-2019,NA,G_CC7_CC7_CC7_112719,CC7,NA,sperm,10:00,,8,9,
01-15-2020,YELLOW,12-04-2019,NA,Y_CC7x4(FROM031619)_120419,CC7,NA,sperm,10:00,,8,9,
01-15-2020,Green (Newest),12-04-2019,NA,Y_CC7_CC7_120419,CC7,NA,sperm,10:00,,17,10,
01-16-2020,YELLOW,12-04-2019,v,Y_PLF3_PLF3_PLF3_PLF3_120419,NA,PLF3,eggs,11:00,,18,9,
01-16-2020,YELLOW,12-04-2019,NA,Y_CC7_CC7_120419,CC7,NA,sperm,11:00,,9,9,
01-16-2020,YELLOW,11-27-2019,NA,Y_CC7x4(FROM031619)_120419,CC7,NA,sperm,11:00,,9,9,
01-16-2020,Green (Newest),12-04-2019,NA,G_CC7_CC7_CC7_112719,CC7,NA,sperm,11:00,,18,10,
01-21-2020,Green (Newest),11-27-2019,02-19-2020,G_H2_H2_H2_H2_H2_112719,NA,H2,sperm,9:45,,23,10,SPERM PRESENT
01-21-2020,Red (New),12-11-2019,02-27-2020,R_H2_H2_H2_H2_121119,NA,H2,sperm,9:45,,8,14,SPERM PRESENT
